AccessTblNm,AccessFldNm,ForeignKey,ForeignKeyBaseField,RelationName
ADDRESSES,c_addr_id,ADDR_CODES,c_addr_id,ADDR_CODESADDRESSES
ADDR_BELONGS_DATA,c_addr_id,ADDR_CODES,c_addr_id,ADDR_CODESADDR_BELONGS_DATA
ADDR_BELONGS_DATA,c_belongs_to,ADDR_CODES,c_addr_id,ADDR_CODESADDR_BELONGS_DATA1
ADDR_CODES,c_admin_cat_code,ADMIN_CAT_CODES,c_admin_cat_code,ADDR_CODES_ADMIN_CAT_CODE
ALTNAME_DATA,c_alt_name_type_code,ALTNAME_CODES,c_name_type_code,ALTNAME_CODESALTNAME_DATA
ALTNAME_DATA,c_personid,BIOG_MAIN,c_personid,BIOG_MAINFIX_ALTNAMES
ALTNAME_DATA,c_source,TEXT_CODES,c_textid,TEXT_CODESALTNAME_DATA
ASSOC_CODES,c_assoc_pair,ASSOC_CODES,c_assoc_code,ASSOC_CODESASSOC_CODES
ASSOC_CODES,c_assoc_pair2,ASSOC_CODES,c_assoc_code,ASSOC_CODESASSOC_CODES1
ASSOC_CODES,c_assoc_pair2,ASSOC_CODES,c_assoc_code,ASSOC_CODESASSOC_CODES2
ASSOC_CODE_TYPE_REL,c_assoc_code,ASSOC_CODES,c_assoc_code,ASSOC_CODESASSOC_CODE_TYPE_REL
ASSOC_CODE_TYPE_REL,c_assoc_code,ASSOC_CODES,c_assoc_code,ASSOC_CODESASSOC_CODE_TYPE_REL1
ASSOC_CODE_TYPE_REL,c_assoc_code,ASSOC_CODES,c_assoc_code,ASSOC_CODESASSOC_CODE_TYPE_REL2
ASSOC_CODE_TYPE_REL,c_assoc_type_code,ASSOC_TYPES,c_assoc_type_code,ASSOC TYPESASSOC CODE_TYPE REL
Assoc_data,c_addr_id,ADDR_CODES,c_addr_id,ADDR_CODESAssoc_data1
Assoc_data,c_assoc_claimer_id,BIOG_MAIN,c_personid,BIOG_MAINAssoc_data2
Assoc_data,c_assoc_claimer_id,BIOG_MAIN,c_personid,BIOG_MAINAssoc_data5
Assoc_data,c_assoc_code,ASSOC_CODES,c_assoc_code,ASSOC_CODESAssoc_data
Assoc_data,c_assoc_fy_day_gz,GANZHI_CODES,c_ganzhi_code,GANZHI_CODESAssoc_data
Assoc_data,c_assoc_fy_nh_code,NIAN_HAO,c_nianhao_id,NIAN_HAOAssoc_data
Assoc_data,c_assoc_fy_range,YEAR_RANGE_CODES,c_range_code,YEAR_RANGE_CODESAssoc_data
Assoc_data,c_assoc_id,BIOG_MAIN,c_personid,BIOG_MAINAssoc_data3
Assoc_data,c_assoc_kin_code,KINSHIP_CODES,c_kincode,KINSHIP_CODESAssoc_data1
Assoc_data,c_assoc_kin_id,BIOG_MAIN,c_personid,BIOG_MAINAssoc_data6
Assoc_data,c_kin_code,KINSHIP_CODES,c_kincode,KINSHIP_CODESAssoc_data
Assoc_data,c_kin_id,BIOG_MAIN,c_personid,BIOG_MAINAssoc_data1
Assoc_data,c_litgenre_code,LITERARYGENRE_CODES,c_lit_genre_code,LITERARYGENRE_CODESAssoc_data
Assoc_data,c_occasion_code,OCCASION_CODES,c_occasion_code,OCCASION_CODESAssoc_data
ASSOC_DATA,c_personid,BIOG_MAIN,c_personid,BIOG_MAINAssoc_data
Assoc_data,c_source,TEXT_CODES,c_textid,TEXT_CODESAssoc_data1
Assoc_data,c_tertiary_personid,BIOG_MAIN,c_personid,BIOG_MAINAssoc_data4
Assoc_data,c_topic_code,ScholarlyTopic_CODES,c_topic_code,ScholarlyTopic_CODESAssoc_data
ASSOC_TYPES,c_assoc_type_parent_id,ASSOC_TYPES,c_assoc_type_code,ASSOC_TYPESASSOC_TYPES
BIOG_ADDR_DATA,c_addr_type,BIOG_ADDR_CODES,c_addr_type,BIOG_ADDR_CODESBIOG_ADDR_DATA
BIOG_INST_DATA,c_bi_by_nh_code,NIAN_HAO,c_nianhao_id,NIAN_HAOBIOG_INST_DATA2
BIOG_INST_DATA,c_bi_by_range,YEAR_RANGE_CODES,c_range_code,YEAR_RANGE_CODESBIOG_INST_DATA
BIOG_INST_DATA,c_bi_ey_nh_code,NIAN_HAO,c_nianhao_id,NIAN_HAOBIOG_INST_DATA
BIOG_INST_DATA,c_bi_ey_range,YEAR_RANGE_CODES,c_range_code,YEAR_RANGE_CODESBIOG_INST_DATA1
BIOG_INST_DATA,c_bi_role_code,BIOG_INST_CODES,c_bi_role_code,BIOG_INST_CODESBIOG_INST_DATA
BIOG_INST_DATA,c_personid,BIOG_MAIN,c_personid,BIOG_MAINBIOG_INST_DATA
BIOG_INST_DATA,c_source,TEXT_CODES,c_textid,TEXT_CODESBIOG_INST_DATA1
BIOG_MAIN,c_by_day_gz,GANZHI_CODES,c_ganzhi_code,GANZHI_CODESBIOG_MAIN
BIOG_MAIN,c_by_nh_code,NIAN_HAO,c_nianhao_id,NIAN_HAOBIOG_MAIN
BIOG_MAIN,c_by_range,YEAR_RANGE_CODES,c_range_code,YEAR_RANGE_CODESBIOG_MAIN
BIOG_MAIN,c_choronym_code,CHORONYM_CODES,c_choronym_code,CHORONYM_CODESBIOG_MAIN
BIOG_MAIN,c_dy,DYNASTIES,c_dy,DYNASTIESBIOG_MAIN
BIOG_MAIN,c_dy_day_gz,GANZHI_CODES,c_ganzhi_code,GANZHI_CODESBIOG_MAIN1
BIOG_MAIN,c_dy_nh_code,NIAN_HAO,c_nianhao_id,NIAN_HAOBIOG_MAIN1
BIOG_MAIN,c_dy_range,YEAR_RANGE_CODES,c_range_code,YEAR_RANGE_CODESBIOG_MAIN1
BIOG_MAIN,c_ethnicity_code,ETHNICITY_TRIBE_CODES,c_ethnicity_code,ETHNICITY_TRIBE_CODESBIOG_MAIN
BIOG_MAIN,c_fl_ey_nh_code,NIAN_HAO,c_nianhao_id,NIAN_HAOBIOG_MAIN2
BIOG_MAIN,c_fl_ly_nh_code,NIAN_HAO,c_nianhao_id,NIAN_HAOBIOG_MAIN3
BIOG_MAIN,c_household_status_code,HOUSEHOLD_STATUS_CODES,c_household_status_code,HOUSEHOLD_STATUS_CODESBIOG_MAIN
BIOG_SOURCE_DATA,c_personid,BIOG_MAIN,c_personid,BIOG_MAINBIOG_SOURCE_DATA
BIOG_SOURCE_DATA,c_textid,TEXT_CODES,c_textid,TEXT_CODESBIOG_SOURCE_DATA
BIOG_TEXT_DATA,c_nh_code,NIAN_HAO,c_nianhao_id,BIOG_TEXT_DATA_NIAN_HAO
BIOG_TEXT_DATA,c_personid,BIOG_MAIN,c_personid,BIOG_TEXT_DATA_PERSON_ID
BIOG_TEXT_DATA,c_range_code,YEAR_RANGE_CODES,c_range_code,BIOG_TEXT_DATA_YEAR_RANGE_CODE
BIOG_TEXT_DATA,c_role_id,TEXT_ROLE_CODES,c_role_id,BIOG_TEXT_DATA_TEXT_ROLE_CODE
BIOG_TEXT_DATA,c_source,TEXT_CODES,c_textid,BIOG_TEXT_DATA_SOURCE_TEXT_ID
BIOG_TEXT_DATA,c_textid,TEXT_CODES,c_textid,BIOG_TEXT_DATA_TEXT_ID
ENTRY_CODE_TYPE_REL,c_entry_code,ENTRY_CODES,c_entry_code,ENTRY_CODESENTRY_CODE_TYPE_REL
ENTRY_CODE_TYPE_REL,c_entry_type,ENTRY_TYPES,c_entry_type,ENTRY TYPESENTRY CODE_TYPE REL
ENTRY_DATA,c_assoc_code,ASSOC_CODES,c_assoc_code,ASSOC_CODESENTRY_DATA
