AccessTblNm,AccessFldNm,ForeignKey,ForeignKeyBaseField
ADDRESSES,c_addr_id,ADDR_CODES,c_addr_id
ASSOC_CODES,c_assoc_pair,ASSOC_CODES,c_assoc_code
Assoc_data,c_assoc_fy_day_gz,GANZHI_CODES,c_ganzhi_code
Assoc_data,c_assoc_fy_nh_code,NIAN_HAO,c_nianhao_id
Assoc_data,c_assoc_fy_range,YEAR_RANGE_CODES,c_range_code
ASSOC_TYPES,c_assoc_type_parent_id,ASSOC_TYPES,c_assoc_type_code
ENTRY_DATA,c_entry_addr_id,ADDR_CODES,c_addr_id
EVENTS_DATA,c_event_code,EVENTS_ADDR,c_event_code
EVENTS_DATA,c_personid,EVENTS_ADDR,c_personid
EVENTS_DATA,c_sequence,EVENTS_ADDR,c_sequence
POSTED_TO_OFFICE_DATA,c_inst_code,SOCIAL_INSTITUTION_CODES,c_inst_code
POSTED_TO_OFFICE_DATA,c_inst_name_code,SOCIAL_INSTITUTION_CODES,c_inst_name_code
SOCIAL_INSTITUTION_ADDR,c_inst_code,SOCIAL_INSTITUTION_CODES,c_inst_code
SOCIAL_INSTITUTION_ADDR,c_inst_name_code,SOCIAL_INSTITUTION_CODES,c_inst_name_code
SOCIAL_INSTITUTION_CODES,c_inst_end_dy,DYNASTIES,c_dy
