AccessTblNm,AccessFldNm,field,current,regen
ADDR_BELONGS_DATA,c_notes,DataFormat,Memo,Text
ADDR_CODES,c_admin_cat_code,NULL_allowed,False,True
ADDR_CODES,c_admin_type,NULL_allowed,False,True
ADDR_CODES,c_name,NULL_allowed,False,True
ADDR_CODES,c_name_chn,NULL_allowed,False,True
ADDR_CODES,x_coord,NULL_allowed,False,True
ADDR_CODES,y_coord,NULL_allowed,False,True
ADMIN_CAT_CODES,c_admin_cat_hz,NULL_allowed,False,True
ADMIN_CAT_CODES,c_admin_cat_py,NULL_allowed,False,True
ADMIN_CAT_TYPES,c_notes,NULL_allowed,False,True
ALTNAME_CODES,c_name_type_code,NULL_allowed,False,True
ALTNAME_CODES,c_name_type_desc,NULL_allowed,False,True
ALTNAME_CODES,c_name_type_desc_chn,NULL_allowed,False,True
ALTNAME_DATA,c_alt_name,NULL_allowed,False,True
ALTNAME_DATA,c_notes,DataFormat,Text,Memo
APPOINTMENT_CODES,c_appt_desc,NULL_allowed,False,True
APPOINTMENT_CODES,c_appt_desc_chn,NULL_allowed,False,True
APPOINTMENT_TYPES,c_appt_type_desc,NULL_allowed,False,True
APPOINTMENT_TYPES,c_appt_type_desc_chn,NULL_allowed,False,True
ASSOC_CODES,c_assoc_code,NULL_allowed,False,True
ASSOC_CODES,c_assoc_desc_chn,NULL_allowed,False,True
ASSOC_CODES,c_assoc_pair,DataFormat,Long,Integer
ASSOC_CODES,c_assoc_role_type,NULL_allowed,False,True
ASSOC_CODES,c_sortorder,NULL_allowed,False,True
ASSOC_DATA,c_assoc_first_year,NULL_allowed,True,False
ASSOC_DATA,c_assoc_fy_intercalary,DataFormat,Binary,Yes/No
ASSOC_DATA,c_assoc_ly_intercalary,DataFormat,Binary,Yes/No
ASSOC_DATA,c_occasion_code,DataFormat,Integer,Long
ASSOC_DATA,c_topic_code,DataFormat,Integer,Long
ASSOC_TYPES,c_assoc_type_desc,NULL_allowed,False,True
ASSOC_TYPES,c_assoc_type_desc_chn,NULL_allowed,False,True
ASSOC_TYPES,c_assoc_type_level,NULL_allowed,False,True
ASSOC_TYPES,c_assoc_type_parent_id,NULL_allowed,False,True
ASSOC_TYPES,c_assoc_type_sortorder,NULL_allowed,False,True
ASSUME_OFFICE_CODES,c_assume_office_code,NULL_allowed,False,True
ASSUME_OFFICE_CODES,c_assume_office_desc,NULL_allowed,False,True
ASSUME_OFFICE_CODES,c_assume_office_desc_chn,NULL_allowed,False,True
BIOG_ADDR_CODES,c_addr_desc,NULL_allowed,False,True
BIOG_ADDR_CODES,c_addr_desc_chn,NULL_allowed,False,True
BIOG_ADDR_CODES,c_index_addr_default_rank,NULL_allowed,False,True
BIOG_ADDR_CODES,c_index_addr_rank,NULL_allowed,False,True
BIOG_ADDR_DATA,c_firstyear,DataFormat,Integer,Long
BIOG_ADDR_DATA,c_fy_intercalary,DataFormat,Binary,Yes/No
BIOG_ADDR_DATA,c_lastyear,DataFormat,Integer,Long
BIOG_ADDR_DATA,c_ly_intercalary,DataFormat,Binary,Yes/No
BIOG_ADDR_DATA,c_natal,DataFormat,Binary,Long
BIOG_ADDR_DATA,c_sequence,DataFormat,Integer,Long
BIOG_ADDR_DATA,c_source,NULL_allowed,False,True
BIOG_INST_CODES,c_bi_role_chn,NULL_allowed,False,True
BIOG_INST_CODES,c_bi_role_code,NULL_allowed,False,True
BIOG_INST_CODES,c_bi_role_desc,NULL_allowed,False,True
BIOG_MAIN,c_by_intercalary,DataFormat,Binary,Yes/No
BIOG_MAIN,c_dy_intercalary,DataFormat,Binary,Yes/No
BIOG_MAIN,c_female,DataFormat,Binary,Yes/No
BIOG_MAIN,c_fl_ey_notes,DataFormat,Text,Memo
BIOG_MAIN,c_fl_ly_notes,DataFormat,Text,Memo
BIOG_MAIN,c_index_year,DataFormat,Integer,Long
BIOG_SOURCE_DATA,c_main_source,DataFormat,Binary,Yes/No
BIOG_SOURCE_DATA,c_self_bio,DataFormat,Binary,Yes/No
BIOG_TEXT_DATA,c_nh_year,DataFormat,Integer,Long
BIOG_TEXT_DATA,c_personid,DataFormat,,Long
