RowNum,DumpTblNm,DumpFldNm,AccessTblNm,AccessFldNm,IndexOnField,DataFormat,NULL_allowed,ForeignKey,ForeignKeyBaseField
,,,ADDR_BELONGS_DATA,c_addr_id,Primary Key,Long,False,ADDR_CODES,c_addr_id
,,,ADDR_BELONGS_DATA,c_belongs_to,Primary Key,Long,False,ADDR_CODES,c_addr_id
,,,ADDR_BELONGS_DATA,c_created_by,,Text,True,,
,,,ADDR_BELONGS_DATA,c_created_date,,Date/Time,True,,
,,,ADDR_BELONGS_DATA,c_firstyear,Primary Key,Integer,False,,
,,,ADDR_BELONGS_DATA,c_lastyear,Primary Key,Integer,False,,
,,,ADDR_BELONGS_DATA,c_modified_by,,Text,True,,
,,,ADDR_BELONGS_DATA,c_modified_date,,Date/Time,True,,
,,,ADDR_BELONGS_DATA,c_notes,,Memo,True,,
,,,ADDR_BELONGS_DATA,c_pages,,Text,True,,
,,,ADDR_BELONGS_DATA,c_secondary_source_author,,Text,True,,
,,,ADDR_BELONGS_DATA,c_source,,Long,True,TEXT_CODES,c_textid
,,,ADDR_CODES,c_addr_id,Primary Key,Long,False,,
,,,ADDR_CODES,c_admin_cat_code,,Integer,False,ADMIN_CAT_CODES,c_admin_cat_code
,,,ADDR_CODES,c_admin_type,,Text,False,,
,,,ADDR_CODES,c_alt_names,,Text,True,,
,,,ADDR_CODES,c_firstyear,,Integer,True,,
,,,ADDR_CODES,c_lastyear,,Integer,True,,
,,,ADDR_CODES,c_name,,Text,False,,
,,,ADDR_CODES,c_name_chn,,Text,False,,
,,,ADDR_CODES,c_notes,,Memo,True,,
,,,ADDR_CODES,CHGIS_PT_ID,,Long,True,,
,,,ADDR_CODES,x_coord,,Double,False,,
,,,ADDR_CODES,y_coord,,Double,False,,
,,,ADMIN_CAT_CODE_TYPE_REL,c_admin_cat_code,Primary Key,Integer,False,ADMIN_CAT_CODES,c_admin_cat_code
,,,ADMIN_CAT_CODE_TYPE_REL,c_admin_type_code,Primary Key,Text,False,ADMIN_CAT_TYPES,c_admin_type_code
,,,ADMIN_CAT_CODES,c_admin_cat_code,Primary Key,Integer,False,,
,,,ADMIN_CAT_CODES,c_admin_cat_hz,,Text,False,,
,,,ADMIN_CAT_CODES,c_admin_cat_py,,Text,False,,
,,,ADMIN_CAT_CODES,c_admin_cat_trans,,Text,True,,
,,,ADMIN_CAT_CODES,c_notes,,Memo,True,,
,,,ADMIN_CAT_TYPES,c_admin_type_code,Primary Key,Text,False,,
,,,ADMIN_CAT_TYPES,c_admin_type_hz,,Text,False,,
,,,ADMIN_CAT_TYPES,c_admin_type_trans,,Text,False,,
,,,ADMIN_CAT_TYPES,c_notes,,Memo,False,,
336,name_types,code,ALTNAME_CODES,c_name_type_code,Primary Key,Integer,False,,
337,name_types,desc,ALTNAME_CODES,c_name_type_desc,,Text,False,,
338,name_types,descchn,ALTNAME_CODES,c_name_type_desc_chn,,Text,False,,
269,fix_altnames,別名拼音(c_alt_name),ALTNAME_DATA,c_alt_name,,Text,False,,
270,fix_altnames,別名漢字(c_alt_name_chn),ALTNAME_DATA,c_alt_name_chn,Primary Key,Text,False,,
271,fix_altnames,別名類別代碼(c_alt_name_type_code),ALTNAME_DATA,c_alt_name_type_code,Primary Key,Integer,False,ALTNAME_CODES,c_name_type_code
,,,ALTNAME_DATA,c_created_by,,Text,True,,
,,,ALTNAME_DATA,c_created_date,,Date/Time,True,,
,,,ALTNAME_DATA,c_modified_by,,Text,True,,
,,,ALTNAME_DATA,c_modified_date,,Date/Time,True,,
276,fix_altnames,注(c_notes),ALTNAME_DATA,c_notes,,Text,True,,
275,fix_altnames,頁碼/條目(c_pages),ALTNAME_DATA,c_pages,,Text,True,,
268,fix_altnames,c_personid,ALTNAME_DATA,c_personid,Primary Key,Long,False,BIOG_MAIN,c_personid
,,,ALTNAME_DATA,c_sequence,,Integer,True,,
274,fix_altnames,出處(c_source),ALTNAME_DATA,c_source,,Long,True,TEXT_CODES,c_textid
,,,APPOINTMENT_CODE_TYPE_REL,c_appt_code,Primary Key,Integer,False,APPOINTMENT_CODES,c_appt_code
,,,APPOINTMENT_CODE_TYPE_REL,c_appt_type_code,Primary Key,Text,False,APPOINTMENT_TYPES,c_appt_type_code
12,appointment_type_codes,code,APPOINTMENT_CODES,c_appt_code,Primary,Integer,False,,
14,appointment_type_codes,typedesc,APPOINTMENT_CODES,c_appt_desc,,Text,False,,
,,,APPOINTMENT_CODES,c_appt_desc_alt,,Text,True,,
13,appointment_type_codes,deschn,APPOINTMENT_CODES,c_appt_desc_chn,,Text,False,,
,,,APPOINTMENT_CODES,c_appt_desc_chn_alt,,Text,True,,
,,,APPOINTMENT_CODES,c_notes,,Text,True,,
,,,APPOINTMENT_TYPES,c_appt_type_code,Primary Key,Text,False,,
,,,APPOINTMENT_TYPES,c_appt_type_desc,,Text,False,,
,,,APPOINTMENT_TYPES,c_appt_type_desc_chn,,Text,False,,
,,,APPOINTMENT_TYPES,c_notes,,Text,True,,
,,,ASSOC_CODE_TYPE_REL,c_assoc_code,Primary Key,Integer,False,ASSOC_CODES,c_assoc_code
,,,ASSOC_CODE_TYPE_REL,c_assoc_type_code,Primary Key,Text,False,ASSOC_TYPES,c_assoc_type_code
16,assoc_codes,code,ASSOC_CODES,c_assoc_code,Primary,Integer,False,,
18,assoc_codes,desc,ASSOC_CODES,c_assoc_desc,,Text,True,,
19,assoc_codes,descchn,ASSOC_CODES,c_assoc_desc_chn,,Text,False,,
17,assoc_codes,pair,ASSOC_CODES,c_assoc_pair,,Long,True,,
,,,ASSOC_CODES,c_assoc_pair2,,Integer,True,ASSOC_CODES,c_assoc_code
,,,ASSOC_CODES,c_assoc_role_type,,Text,False,,
30,assoc_codes,example,ASSOC_CODES,c_example,,Text,True,,
29,assoc_codes,sortorder,ASSOC_CODES,c_sortorder,,Integer,False,,
51,assoc_data,addr_id,ASSOC_DATA,c_addr_id,,Long,True,ADDR_CODES,c_addr_id
58,assoc_data,社會關係指證人(assoc_claimer_id),ASSOC_DATA,c_assoc_claimer_id,,Long,True,BIOG_MAIN,c_personid
32,assoc_data,社會關係類別(assoc_code),ASSOC_DATA,c_assoc_code,Primary Key,Integer,False,ASSOC_CODES,c_assoc_code
,,,ASSOC_DATA,c_assoc_count,,Integer,True,,
40,assoc_data,社會關係年份(assoc_year),ASSOC_DATA,c_assoc_first_year,,Integer,True,,
62,assoc_data,日c_assoc_day,ASSOC_DATA,c_assoc_fy_day,,Integer,True,,
63,assoc_data,日干支c_assoc_day_gz,ASSOC_DATA,c_assoc_fy_day_gz,,Integer,True,GANZHI_CODES,c_ganzhi_code
60,assoc_data,閏c_assoc_intercalary,ASSOC_DATA,c_assoc_fy_intercalary,,Binary,True,,
61,assoc_data,月c_assoc_month,ASSOC_DATA,c_assoc_fy_month,,Integer,True,,
43,assoc_data,社會關係(年號)(assoc_nh_code),ASSOC_DATA,c_assoc_fy_nh_code,,Integer,True,nian_hao,c_nianhao_id
44,assoc_data,社會關係(年)(assoc_nh_year),ASSOC_DATA,c_assoc_fy_nh_year,,Integer,True,,
45,assoc_data,社會關係(時限)(assoc_range),ASSOC_DATA,c_assoc_fy_range,,Integer,True,year_range_codes,c_range_code
36,assoc_data,社會關係人(assoc_id),ASSOC_DATA,c_assoc_id,Primary Key,Long,False,BIOG_MAIN,c_personid
37,assoc_data,社會關係人親屬關係類別(assoc_kin_code),ASSOC_DATA,c_assoc_kin_code,Primary Key,Integer,False,,
38,assoc_data,社會關係人親戚姓名(assoc_kin_id),ASSOC_DATA,c_assoc_kin_id,Primary Key,Long,False,BIOG_MAIN,c_personid
,,,ASSOC_DATA,c_assoc_last_year,,Integer,True,,
,,,ASSOC_DATA,c_assoc_ly_day,,Integer,True,,
,,,ASSOC_DATA,c_assoc_ly_day_gz,,Integer,True,GANZHI_CODES,c_ganzhi_code
,,,ASSOC_DATA,c_assoc_ly_intercalary,,Binary,True,,
,,,ASSOC_DATA,c_assoc_ly_month,,Integer,True,,
,,,ASSOC_DATA,c_assoc_ly_nh_code,,Integer,True,NIAN_HAO,c_nianhao_code
,,,ASSOC_DATA,c_assoc_ly_nh_year,,Integer,True,,
,,,ASSOC_DATA,c_assoc_ly_range,,Integer,True,YEAR_RANGE_CODES,c_range_code
,,,ASSOC_DATA,c_created_by,,Text,True,,
,,,ASSOC_DATA,c_created_date,,Date/Time,True,,
55,assoc_data,就讀學校(school_code),ASSOC_DATA,c_inst_code,,Integer,True,SOCIAL_INSTITUTION_CODES,c_inst_code
,,,ASSOC_DATA,c_inst_name_code,,Integer,True,SOCIAL_INSTITUTION_NAME_CODES,c_inst_name_code
34,assoc_data,親屬關係類別(kin_code),ASSOC_DATA,c_kin_code,Primary Key,Integer,False,KINSHIP_CODES,c_kincode
35,assoc_data,親戚姓名(kin_id),ASSOC_DATA,c_kin_id,Primary Key,Long,False,BIOG_MAIN,c_personid
52,assoc_data,作品文學樣式(litgenre_code),ASSOC_DATA,c_litgenre_code,,Integer,True,literarygenre_codes,c_lit_genre_code
,,,ASSOC_DATA,c_modified_by,,Text,True,,
,,,ASSOC_DATA,c_modified_date,,Date/Time,True,,
46,assoc_data,注(notes),ASSOC_DATA,c_notes,,Memo,True,,
53,assoc_data,場合(occasion_code),ASSOC_DATA,c_occasion_code,,Integer,True,OCCASION_CODES,c_occasion_code
42,assoc_data,pages,ASSOC_DATA,c_pages,,Text,True,,
33,assoc_data,personid,ASSOC_DATA,c_personid,Primary Key,Long,False,BIOG_MAIN,c_personid
