AccessTblNm,AccessFldNm,IndexOnField,DataFormat,NULL_allowed,ForeignKey,ForeignKeyBaseField
ADDR_BELONGS_DATA,c_addr_id,Primary Key,Long,False,,
ADDR_BELONGS_DATA,c_belongs_to,Primary Key,Long,False,,
ADDR_BELONGS_DATA,c_firstyear,Primary Key,Integer,False,,
ADDR_BELONGS_DATA,c_lastyear,Primary Key,Integer,False,,
ADDR_BELONGS_DATA,c_source,,Long,True,,
ADDR_BELONGS_DATA,c_pages,,Text,True,,
ADDR_BELONGS_DATA,c_secondary_source_author,,Text,True,,
ADDR_BELONGS_DATA,c_notes,,Text,True,,
ADDR_BELONGS_DATA,c_created_by,,Text,True,,
ADDR_BELONGS_DATA,c_created_date,,Date/Time,True,,
ADDR_BELONGS_DATA,c_modified_by,,Text,True,,
ADDR_BELONGS_DATA,c_modified_date,,Date/Time,True,,
ADDR_CODES,c_addr_id,Primary Key,Long,False,,
ADDR_CODES,c_name,,Text,True,,
ADDR_CODES,c_name_chn,,Text,True,,
ADDR_CODES,c_firstyear,,Integer,True,,
ADDR_CODES,c_lastyear,,Integer,True,,
ADDR_CODES,c_admin_cat_code,,Integer,True,,
ADDR_CODES,c_admin_type,,Text,True,,
ADDR_CODES,x_coord,,Double,True,,
ADDR_CODES,y_coord,,Double,True,,
ADDR_CODES,CHGIS_PT_ID,,Long,True,,
ADDR_CODES,c_notes,,Memo,True,,
ADDR_CODES,c_alt_names,,Text,True,,
ADDRESSES,c_addr_id,,Long,True,,
ADDRESSES,c_addr_cbd,,Text,True,,
ADDRESSES,c_name,,Text,True,,
ADDRESSES,c_name_chn,,Text,True,,
ADDRESSES,c_admin_type,,Text,True,,
ADDRESSES,c_firstyear,,Integer,True,,
ADDRESSES,c_lastyear,,Integer,True,,
ADDRESSES,x_coord,,Double,True,,
ADDRESSES,y_coord,,Double,True,,
ADDRESSES,belongs1_ID,,Long,True,,
ADDRESSES,belongs1_Name,,Text,True,,
ADDRESSES,belongs2_ID,,Long,True,,
ADDRESSES,belongs2_Name,,Text,True,,
ADDRESSES,belongs3_ID,,Long,True,,
ADDRESSES,belongs3_Name,,Text,True,,
ADDRESSES,belongs4_ID,,Long,True,,
ADDRESSES,belongs4_Name,,Text,True,,
ADDRESSES,belongs5_ID,,Long,True,,
ADDRESSES,belongs5_Name,,Text,True,,
ADMIN_CAT_CODE_TYPE_REL,c_admin_cat_code,Primary Key,Integer,False,,
ADMIN_CAT_CODE_TYPE_REL,c_admin_cat_type_code,Primary Key,Text,False,,
ADMIN_CAT_CODES,c_admin_cat_code,Primary Key,Integer,False,,
ADMIN_CAT_CODES,c_admin_cat_py,,Text,True,,
ADMIN_CAT_CODES,c_admin_cat_hz,,Text,True,,
ADMIN_CAT_CODES,c_admin_cat_trans,,Text,True,,
ADMIN_CAT_CODES,c_notes,,Memo,True,,
ADMIN_CAT_TYPES,c_admin_cat_type_code,Primary Key,Text,False,,
ADMIN_CAT_TYPES,c_admin_cat_type_hz,,Text,False,,
ADMIN_CAT_TYPES,c_admin_cat_type_trans,,Text,False,,
ADMIN_CAT_TYPES,c_notes,,Memo,True,,
ALTNAME_CODES,c_name_type_code,Primary Key,Integer,True,,
ALTNAME_CODES,c_name_type_desc,,Text,True,,
ALTNAME_CODES,c_name_type_desc_chn,,Text,True,,
ALTNAME_DATA,c_personid,Primary Key,Long,False,,
ALTNAME_DATA,c_alt_name,,Text,True,,
ALTNAME_DATA,c_alt_name_chn,Primary Key,Text,False,,
ALTNAME_DATA,c_alt_name_type_code,Primary Key,Integer,False,,
ALTNAME_DATA,c_sequence,,Integer,True,,
ALTNAME_DATA,c_source,,Long,True,,
ALTNAME_DATA,c_pages,,Text,True,,
ALTNAME_DATA,c_notes,,Memo,True,,
ALTNAME_DATA,c_created_by,,Text,True,,
ALTNAME_DATA,c_modified_by,,Text,True,,
ALTNAME_DATA,c_created_date,,Date/Time,True,,
ALTNAME_DATA,c_modified_date,,Date/Time,True,,
APPOINTMENT_CODE_TYPE_REL,c_appt_code,Primary Key,Integer,False,,
APPOINTMENT_CODE_TYPE_REL,c_appt_type_code,Primary Key,Text,False,,
APPOINTMENT_CODES,c_appt_code,Primary Key,Integer,False,,
APPOINTMENT_CODES,c_appt_desc_chn,,Text,True,,
APPOINTMENT_CODES,c_appt_desc,,Text,True,,
APPOINTMENT_CODES,c_appt_desc_chn_alt,,Text,True,,
APPOINTMENT_CODES,c_appt_desc_alt,,Text,True,,
APPOINTMENT_CODES,c_notes,,Text,True,,
APPOINTMENT_TYPES,c_appt_type_code,Primary Key,Text,False,,
APPOINTMENT_TYPES,c_appt_type_desc_chn,,Text,True,,
APPOINTMENT_TYPES,c_appt_type_desc,,Text,True,,
APPOINTMENT_TYPES,c_notes,,Text,True,,
ASSOC_CODE_TYPE_REL,c_assoc_code,Primary Key,Integer,False,,
ASSOC_CODE_TYPE_REL,c_assoc_type_code,Primary Key,Text,False,,
ASSOC_CODES,c_assoc_code,Primary Key,Integer,True,,
ASSOC_CODES,c_assoc_pair,,Integer,True,,
ASSOC_CODES,c_assoc_pair2,,Integer,True,,
ASSOC_CODES,c_assoc_desc,,Text,True,,
ASSOC_CODES,c_assoc_desc_chn,,Text,True,,
ASSOC_CODES,c_assoc_role_type,,Text,True,,
ASSOC_CODES,c_sortorder,,Integer,True,,
ASSOC_CODES,c_example,,Text,True,,
ASSOC_DATA,c_assoc_code,Primary Key,Integer,False,,
ASSOC_DATA,c_personid,Primary Key,Long,False,,
ASSOC_DATA,c_kin_code,Primary Key,Integer,False,,
ASSOC_DATA,c_kin_id,Primary Key,Long,False,,
ASSOC_DATA,c_assoc_id,Primary Key,Long,False,,
ASSOC_DATA,c_assoc_kin_code,Primary Key,Integer,False,,
ASSOC_DATA,c_assoc_kin_id,Primary Key,Long,False,,
ASSOC_DATA,c_tertiary_personid,,Long,True,,
ASSOC_DATA,c_tertiary_type_notes,,Text,True,,
ASSOC_DATA,c_assoc_count,,Integer,True,,
ASSOC_DATA,c_sequence,,Integer,True,,
ASSOC_DATA,c_assoc_first_year,Primary Key,Integer,False,,
ASSOC_DATA,c_assoc_last_year,,Integer,True,,
ASSOC_DATA,c_source,,Long,True,,
